raw,clean,labels
lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu,lagu bosan apa yang saya save ini huhuhuhuhuhuhuhuhuhu,-1
kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati,kita lanjut saja diam ini hingga kamu dan saya erti tidak semua sama harus libat hati,-1
doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p,doa rezeki tidak putus inna haa zaa larizquna maa lahu min nya fadesungguhnya ini ialah beri kami kepada kamu,1
makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu,terima kasih loh entar kita bagi hasil saya sisa buat kamu,1
aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang,saya tidak faham betul jenis orang malaysia yang tidak ret mau sangkut balik hose itu saya geli bodoh mau pegang,-1
barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping,barusan lihat tulis di belakang truk rela injek kopling demi kamu bisa shopping,0
cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p,cerita dia macam ini mamat ini hari saya tampak keluar masuk cimb ceria saja tapi hari ini saya jenguk muka dia masam saya,-1
ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya,iya saya akan jadi satu satu bukan nomor satu tetapi satu satu,1
aku aja capek sama diriku sendiri apalagi kamu maaf ya ',saya saja cape sama diri sendiri apalagi kamu maaf iya,-1
aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan,saya coba mau amal sikap pergi mampus tapi sayang saya gagal sebab saya jenis mudah kasihan dan mudah maaf,-1
her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin,her itu lho mi kevin sama keven rebut gimbot iya wis saya beli saja sambil nunjuk the twins yang asik main ipad masin,0
iya rep gatau aku masih kelas 4 sd ehh di block,iya rep enggak tau saya masih kelas sd eh di block,0
aku mohon tepatilah janjimu penantiancintaeps19,saya mohon tepat janji penantiancintaeps,0
bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser,bukan ria nk kahwin sebab gatal celah kangkang tapi penat bila balik kg orang anggap saya ini bujang takde kerja dan ser,0
aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila,saya ingat habanero paling pedas rupa ada kali ganda yang lagi pedas gila,0
aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n,saya jenguk drama cinta bukan kristalatu conversation anak dengan bapak bapak iya sekarang semua perempuan,0
i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla,dont know why but these zikir sangat bantu saya pon dapat hasil dari orang retweetambil usaha sambil doa insha alla,1
commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa,commitmentetakat hulu hilir together tapi tidak put effonak kahwin baik tinggal je bazir masa,-1
aah kamu aja mas aku lebih suka diayomi,aah kamu saja mas saya lebih suka ayom,1
yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja,yang saya butuh interaksi dari yuk yang line segitu yuk mutualan nanti ku follow tapi auto followback ok saja,0
kau dah tak streak dengan aku pun,kamu deh tidak streak dengan saya pun,0
yg selama ini nunggun video dari aku nih retweet yg mau full,yang lama ini nunggun video dari saya ini retweet yang mau full,0
mau bantu aku nabung,mau bantu saya nabung,1
kamu jahat dubu lt,kamu jahat dubu lantai,-1
tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga,tidak kisah pun bf adek kawan perempuan sebab saya pun adek kawan laki tapi kalau over mau adu mau cite itu ini send enggak,0
high,high,0
nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss,nanti malam ada undang opening di hungerbelt spazio teman saya lah sis,0
aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu,saya mau tanya lah apa asa korang bila simpan duit dalam tabung kemudian ana makan duit itu,-1
tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya,tidak peduli seperti apa hidup kamu selalu punya pilih untuk lihat dari sisi baik atau sisi buruk,1
aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha,saya deh tahu macam mana mau bagi pengantin gelak natural hahahahahahahahahahaha,1
aku tambah lagi ia,saya tambah lagi ia,0
cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba,cara mau mintak maaf ada saya minta maaf saya aku salah saya apa yang boleh saya buat untuk betul ba,1
